GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0006464,cellular protein modification process,1169,217,157.08,1e-30,1.244e-27
GO:0006793,phosphorus metabolic process,1223,240,164.34,2.3e-17,1.4306e-14
GO:0036211,protein modification process,1169,217,157.08,1.2e-16,4.976e-14
GO:0015979,photosynthesis,86,40,11.56,8.0e-15,2.01528e-12
GO:0043412,macromolecule modification,1218,217,163.67,8.1e-15,2.01528e-12
GO:0010468,regulation of gene expression,668,69,89.76,1.1e-12,2.28066666666667e-10
GO:0097659,nucleic acid-templated transcription,735,71,98.76,4.7e-12,8.35257142857143e-10
GO:0051252,regulation of RNA metabolic process,638,69,85.73,3.7e-09,5.7535e-07
GO:0033692,cellular polysaccharide biosynthetic pro...,25,11,3.36,4.9e-09,6.77288888888889e-07
GO:0006468,protein phosphorylation,851,189,114.35,1.5e-08,1.866e-06
GO:0009765,photosynthesis, light harvesting,33,23,4.43,1.9e-08,2.14872727272727e-06
GO:0019184,nonribosomal peptide biosynthetic proces...,47,10,6.32,2.4e-08,2.488e-06
GO:0010556,regulation of macromolecule biosynthetic...,645,69,86.67,4.5e-08,4.30615384615385e-06
GO:0045229,external encapsulating structure organiz...,44,16,5.91,1.2e-07,1.06628571428571e-05
GO:0006091,generation of precursor metabolites and ...,129,38,17.33,2.7e-07,2.2392e-05
GO:0019684,photosynthesis, light reaction,39,25,5.24,5.2e-07,4.043e-05
GO:0006270,DNA replication initiation,7,6,0.94,5.8e-07,4.24423529411765e-05
GO:0000271,polysaccharide biosynthetic process,26,11,3.49,1.3e-06,8.98444444444445e-05
GO:0034637,cellular carbohydrate biosynthetic proce...,43,15,5.78,3.5e-06,0.000229157894736842
GO:0044264,cellular polysaccharide metabolic proces...,52,20,6.99,4.6e-06,0.00028612
GO:0005976,polysaccharide metabolic process,60,21,8.06,6.0e-06,0.000355428571428571
GO:0071554,cell wall organization or biogenesis,87,26,11.69,9.6e-06,0.000542836363636364
GO:0032774,RNA biosynthetic process,737,71,99.03,1.1e-05,0.00059495652173913
GO:0044262,cellular carbohydrate metabolic process,94,28,12.63,1.4e-05,0.000725666666666667
GO:0005975,carbohydrate metabolic process,427,84,57.38,3.3e-05,0.00164208
GO:0006355,regulation of transcription, DNA-templat...,636,69,85.46,0.00012,0.00574153846153846
GO:0016051,carbohydrate biosynthetic process,52,15,6.99,0.00021,0.00967555555555556
GO:0006952,defense response,64,13,8.6,0.00023,0.0102185714285714
GO:0007010,cytoskeleton organization,69,11,9.27,0.00034,0.0145848275862069
GO:0009063,cellular amino acid catabolic process,24,8,3.22,0.00036,0.014928
GO:0051169,nuclear transport,53,7,7.12,0.00048,0.019261935483871
GO:1901605,alpha-amino acid metabolic process,115,20,15.45,0.00050,0.0194375
GO:2001141,regulation of RNA biosynthetic process,636,69,85.46,0.00059,0.0222412121212121
GO:0016054,organic acid catabolic process,27,8,3.63,0.00098,0.0358564705882353
GO:1901606,alpha-amino acid catabolic process,23,8,3.09,0.00133,0.047272
