GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0042221,response to chemical,100,20,13.44,0.00164,0.0566711111111111
GO:1903506,regulation of nucleic acid-templated tra...,636,69,85.46,0.00174,0.0585016216216216
GO:0008652,cellular amino acid biosynthetic process,81,14,10.88,0.00179,0.058598947368421
GO:0009719,response to endogenous stimulus,73,16,9.81,0.00195,0.0604228571428572
GO:0006260,DNA replication,45,9,6.05,0.00199,0.0604228571428572
GO:0042546,cell wall biogenesis,35,11,4.7,0.00204,0.0604228571428572
GO:0072488,ammonium transmembrane transport,5,3,0.67,0.00204,0.0604228571428572
GO:0044550,secondary metabolite biosynthetic proces...,46,11,6.18,0.00217,0.0627786046511628
GO:0016310,phosphorylation,915,197,122.95,0.00230,0.0650272727272727
GO:0034654,nucleobase-containing compound biosynthe...,831,83,111.66,0.00236,0.0652408888888889
GO:0000097,sulfur amino acid biosynthetic process,22,6,2.96,0.00309,0.083564347826087
GO:0072348,sulfur compound transport,10,5,1.34,0.00323,0.0837108333333333
GO:0046395,carboxylic acid catabolic process,27,8,3.63,0.00323,0.0837108333333333
GO:0019219,regulation of nucleobase-containing comp...,647,69,86.94,0.00330,0.0837795918367347
GO:0019438,aromatic compound biosynthetic process,904,94,121.47,0.00396,0.0985248
GO:0051254,positive regulation of RNA metabolic pro...,10,4,1.34,0.00414,0.100983529411765
GO:1901362,organic cyclic compound biosynthetic pro...,965,101,129.67,0.00436,0.104304615384615
GO:0009607,response to biotic stimulus,45,11,6.05,0.00449,0.105387924528302
GO:0006284,base-excision repair,20,4,2.69,0.00460,0.10597037037037
GO:0006261,DNA-templated DNA replication,12,6,1.61,0.00618,0.139780363636364
GO:0045935,positive regulation of nucleobase-contai...,11,4,1.48,0.00955,0.205547076923077
GO:0046486,glycerolipid metabolic process,72,15,9.67,0.00969,0.205547076923077
GO:0006558,L-phenylalanine metabolic process,14,5,1.88,0.01002,0.205547076923077
GO:0032502,developmental process,54,14,7.26,0.01015,0.205547076923077
GO:1902680,positive regulation of RNA biosynthetic ...,10,4,1.34,0.01039,0.205547076923077
GO:0018130,heterocycle biosynthetic process,919,93,123.49,0.01053,0.205547076923077
GO:0006820,anion transport,41,12,5.51,0.01056,0.205547076923077
GO:0046839,phospholipid dephosphorylation,11,5,1.48,0.01070,0.205547076923077
GO:1903508,positive regulation of nucleic acid-temp...,10,4,1.34,0.01074,0.205547076923077
GO:0045893,positive regulation of transcription, DN...,10,4,1.34,0.01074,0.205547076923077
GO:0032501,multicellular organismal process,94,21,12.63,0.01179,0.222223636363636
GO:0009069,serine family amino acid metabolic proce...,26,9,3.49,0.01261,0.234131940298507
GO:1901564,organonitrogen compound metabolic proces...,2425,341,325.86,0.01567,0.286668823529412
GO:0044282,small molecule catabolic process,36,8,4.84,0.01608,0.289906086956522
GO:0010557,positive regulation of macromolecule bio...,15,4,2.02,0.01803,0.320418857142857
GO:0030258,lipid modification,19,6,2.55,0.01857,0.325367323943662
GO:0010876,lipid localization,39,5,5.24,0.02376,0.41052
GO:0008152,metabolic process,5072,706,681.54,0.02737,0.466414794520548
GO:0006928,movement of cell or subcellular componen...,54,12,7.26,0.02913,0.487813866666667
GO:0006886,intracellular protein transport,200,9,26.87,0.02941,0.487813866666667
GO:0006811,ion transport,231,36,31.04,0.02997,0.490561578947368
GO:0031326,regulation of cellular biosynthetic proc...,645,69,86.67,0.03889,0.623555
GO:0031328,positive regulation of cellular biosynth...,15,4,2.02,0.03936,0.623555
GO:0030244,cellulose biosynthetic process,12,8,1.61,0.03989,0.623555
GO:0051258,protein polymerization,18,4,2.42,0.04010,0.623555
GO:0055086,nucleobase-containing small molecule met...,175,23,23.52,0.04089,0.62798962962963
GO:0009891,positive regulation of biosynthetic proc...,15,4,2.02,0.04200,0.637170731707317
GO:0009889,regulation of biosynthetic process,645,69,86.67,0.04729,0.708780240963855
GO:0006869,lipid transport,39,5,5.24,0.04835,0.716040476190476
GO:0015995,chlorophyll biosynthetic process,8,3,1.07,0.05246,0.765493953488372
GO:0097435,supramolecular fiber organization,29,6,3.9,0.05292,0.765493953488372
GO:0009074,aromatic amino acid family catabolic pro...,11,3,1.48,0.05511,0.780892727272727
GO:0009875,pollen-pistil interaction,55,10,7.39,0.05524,0.780892727272727
GO:0055085,transmembrane transport,461,69,61.95,0.05652,0.786899111111111
GO:0046856,phosphatidylinositol dephosphorylation,11,5,1.48,0.05693,0.786899111111111
GO:0006865,amino acid transport,26,4,3.49,0.06182,0.835913913043478
GO:0072525,pyridine-containing compound biosyntheti...,18,4,2.42,0.06182,0.835913913043478
GO:1901657,glycosyl compound metabolic process,20,5,2.69,0.06342,0.848327741935484
GO:0006694,steroid biosynthetic process,29,6,3.9,0.06507,0.856919578947368
GO:0044036,cell wall macromolecule metabolic proces...,43,10,5.78,0.06544,0.856919578947368
GO:1902221,erythrose 4-phosphate/phosphoenolpyruvat...,14,5,1.88,0.06716,0.870281666666667
GO:0006560,proline metabolic process,4,2,0.54,0.07040,0.902861855670103
GO:0019748,secondary metabolic process,55,12,7.39,0.07193,0.913070612244898
GO:0019538,protein metabolic process,1918,266,257.73,0.08738,1
GO:0009309,amine biosynthetic process,13,3,1.75,0.08814,1
GO:0043605,cellular amide catabolic process,3,1,0.4,0.09049,1
GO:0006629,lipid metabolic process,376,58,50.52,0.09090,1
GO:0051301,cell division,20,5,2.69,0.09096,1
GO:0030243,cellulose metabolic process,13,8,1.75,0.09133,1
GO:0007017,microtubule-based process,105,18,14.11,0.09139,1
GO:0008202,steroid metabolic process,32,6,4.3,0.09318,1
GO:0000266,mitochondrial fission,3,1,0.4,0.09375,1
GO:0015748,organophosphate ester transport,10,2,1.34,0.09806,1
GO:0000096,sulfur amino acid metabolic process,24,6,3.22,0.09920,1
GO:0015849,organic acid transport,34,4,4.57,0.10202,1
GO:0043242,negative regulation of protein-containin...,3,1,0.4,0.10345,1
GO:0042908,xenobiotic transport,49,9,6.58,0.11079,1
GO:0065003,protein-containing complex assembly,81,7,10.88,0.11509,1
GO:0019363,pyridine nucleotide biosynthetic process,11,3,1.48,0.11698,1
GO:0007018,microtubule-based movement,54,12,7.26,0.12231,1
GO:0044272,sulfur compound biosynthetic process,48,7,6.45,0.12648,1
GO:0006779,porphyrin-containing compound biosynthet...,18,4,2.42,0.12884,1
GO:0046112,nucleobase biosynthetic process,15,3,2.02,0.12957,1
GO:0007275,multicellular organism development,39,11,5.24,0.13160,1
GO:0008037,cell recognition,55,10,7.39,0.13402,1
GO:0071555,cell wall organization,44,16,5.91,0.13535,1
GO:0008272,sulfate transport,10,5,1.34,0.13923,1
GO:0006650,glycerophospholipid metabolic process,65,14,8.73,0.14401,1
GO:0009070,serine family amino acid biosynthetic pr...,20,6,2.69,0.14656,1
GO:0007186,G protein-coupled receptor signaling pat...,22,4,2.96,0.14865,1
GO:0044042,glucan metabolic process,52,20,6.99,0.15029,1
GO:0006096,glycolytic process,39,7,5.24,0.15029,1
GO:0006672,ceramide metabolic process,5,1,0.67,0.15152,1
GO:0046031,ADP metabolic process,39,7,5.24,0.15278,1
GO:1902223,erythrose 4-phosphate/phosphoenolpyruvat...,4,2,0.54,0.15424,1
GO:0045454,cell redox homeostasis,93,13,12.5,0.15818,1
GO:0019362,pyridine nucleotide metabolic process,11,3,1.48,0.16153,1
GO:0019344,cysteine biosynthetic process,14,5,1.88,0.16574,1
GO:0006546,glycine catabolic process,5,3,0.67,0.16680,1
GO:0006112,energy reserve metabolic process,7,2,0.94,0.16692,1
GO:0034613,cellular protein localization,214,9,28.76,0.16816,1
GO:0072524,pyridine-containing compound metabolic p...,18,4,2.42,0.16822,1
GO:0000910,cytokinesis,16,3,2.15,0.17082,1
GO:0009065,glutamine family amino acid catabolic pr...,4,2,0.54,0.17416,1
GO:0009071,serine family amino acid catabolic proce...,5,3,0.67,0.17530,1
GO:0019637,organophosphate metabolic process,257,39,34.53,0.17531,1
