GO.ID,Term,Annotated,Significant,Expected,Fisher,fdr
GO:0046527,glucosyltransferase activity,56,21,6.92,0.00186,0.0519422222222222
GO:0017171,serine hydrolase activity,128,29,15.82,0.00234,0.0630128571428571
GO:0045735,nutrient reservoir activity,21,8,2.6,0.00245,0.0637
GO:0005200,structural constituent of cytoskeleton,16,3,1.98,0.00326,0.0792916129032258
GO:0043168,anion binding,2010,305,248.38,0.00326,0.0792916129032258
GO:0016798,hydrolase activity, acting on glycosyl b...,237,46,29.29,0.00393,0.092600625
GO:0030599,pectinesterase activity,17,8,2.1,0.00410,0.0936787878787879
GO:0008092,cytoskeletal protein binding,84,18,10.38,0.00462,0.102455294117647
GO:0022834,ligand-gated channel activity,18,11,2.22,0.00500,0.107714285714286
GO:0035251,UDP-glucosyltransferase activity,29,12,3.58,0.00588,0.123153333333333
GO:0046906,tetrapyrrole binding,317,52,39.17,0.00793,0.161600540540541
GO:0030145,manganese ion binding,22,7,2.72,0.00881,0.174808947368421
GO:0005216,ion channel activity,79,20,9.76,0.01050,0.203
GO:1901682,sulfur compound transmembrane transporte...,10,5,1.24,0.01289,0.2429765
GO:0016774,phosphotransferase activity, carboxyl gr...,6,4,0.74,0.01426,0.261027619047619
GO:0022803,passive transmembrane transporter activi...,79,20,9.76,0.01454,0.261027619047619
GO:0022836,gated channel activity,41,15,5.07,0.01542,0.270387906976744
GO:0008271,secondary active sulfate transmembrane t...,10,5,1.24,0.01606,0.27521
GO:0005199,structural constituent of cell wall,10,2,1.24,0.01722,0.288530666666667
GO:0071949,FAD binding,14,5,1.73,0.02054,0.336677391304348
GO:0033764,steroid dehydrogenase activity, acting o...,26,6,3.21,0.02415,0.387427659574468
GO:0015103,inorganic anion transmembrane transporte...,32,10,3.95,0.02714,0.426324166666667
GO:0016628,oxidoreductase activity, acting on the C...,55,12,6.8,0.03498,0.538263673469388
GO:0005452,inorganic anion exchanger activity,5,3,0.62,0.03671,0.550272156862745
GO:0008509,anion transmembrane transporter activity,35,10,4.33,0.03722,0.550272156862745
GO:0003774,cytoskeletal motor activity,63,13,7.79,0.04194,0.606551111111111
GO:0004497,monooxygenase activity,257,48,31.76,0.04339,0.606551111111111
GO:0032555,purine ribonucleotide binding,1795,284,221.82,0.04344,0.606551111111111
