##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	phred25_SRR492407_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45521342
Sequences flagged as poor quality	0
Sequence length	0-101
%GC	39
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	37.329084180264175	39.0	37.0	39.0	34.0	39.0
2	37.12045046192732	39.0	37.0	39.0	34.0	39.0
3	37.11911607383783	39.0	37.0	39.0	34.0	39.0
4	37.11352203478196	39.0	37.0	39.0	34.0	39.0
5	36.886833638206646	38.0	37.0	39.0	33.0	39.0
6	36.91017716679398	39.0	37.0	39.0	33.0	39.0
7	36.841773257855024	38.0	36.0	39.0	33.0	39.0
8	36.80807713901644	38.0	36.0	39.0	33.0	39.0
9	36.74308745294595	38.0	36.0	39.0	33.0	39.0
10-11	36.6627005033045	38.0	36.0	39.0	32.5	39.0
12-13	36.5265592906735	38.0	36.0	39.0	32.0	39.0
14-15	36.45920154568206	38.0	36.0	39.0	31.0	39.0
16-17	36.35687332517739	38.0	36.0	39.0	31.0	39.0
18-19	36.22148685582668	38.0	36.0	39.0	31.0	39.0
20-21	36.18742729978669	38.0	36.0	39.0	31.0	39.0
22-23	36.09782822448368	38.0	36.0	39.0	31.0	39.0
24-25	35.98468088823482	38.0	35.0	39.0	31.0	39.0
26-27	36.06348625641455	38.0	36.0	39.0	31.0	39.0
28-29	35.91395556578007	38.0	35.5	39.0	31.0	39.0
30-31	35.85499561537989	38.0	35.5	39.0	31.0	39.0
32-33	35.754010511478626	38.0	35.0	39.0	30.0	39.0
34-35	35.58720213590597	37.0	35.0	39.0	30.0	39.0
36-37	35.48421465548919	37.0	35.0	39.0	30.0	39.0
38-39	35.1907909537388	37.0	35.0	39.0	29.0	39.0
40-41	34.86352023632128	37.0	34.0	39.0	28.0	39.0
42-43	34.595474777666595	37.0	34.0	39.0	27.0	39.0
44-45	34.41882041716687	37.0	34.0	39.0	27.0	39.0
46-47	34.3022122956678	37.0	34.0	39.0	27.0	39.0
48-49	34.06147960991112	37.0	33.0	39.0	26.0	39.0
50-51	33.88654192271851	37.0	33.0	39.0	26.0	39.0
52-53	33.611425172898706	36.0	33.0	39.0	25.0	39.0
54-55	33.173803675338114	36.0	32.5	38.5	24.0	39.0
56-57	32.906219399238566	36.0	32.0	38.0	23.0	39.0
58-59	32.733684281004884	36.0	32.0	38.0	23.0	39.0
60-61	32.540566949451545	36.0	32.0	37.5	22.0	39.0
62-63	32.210525882503546	36.0	31.5	37.0	21.0	39.0
64-65	31.888139946421987	35.5	31.0	37.0	20.0	39.0
66-67	31.58492261844961	35.5	30.5	37.0	18.0	39.0
68-69	31.09236194461251	35.0	30.0	37.0	16.5	39.0
70-71	30.43707985153774	34.5	29.5	37.0	12.5	39.0
72-73	29.54224629944757	34.0	27.5	36.0	8.5	38.0
74-75	29.135647603388662	33.5	27.0	36.0	4.5	37.0
76-77	30.463023145455594	35.5	29.0	37.5	2.0	39.0
78-79	30.119383392055973	35.0	29.0	37.0	2.0	39.0
80-81	30.026461510714377	35.0	28.5	37.5	2.0	39.0
82-83	29.8595740438604	35.0	28.5	37.0	2.0	39.0
84-85	29.41305760235515	35.0	27.5	37.0	2.0	39.0
86-87	28.675382031644602	34.5	26.5	37.0	2.0	39.0
88-89	28.20081716463357	34.0	25.5	37.0	2.0	39.0
90-91	27.56776388538426	34.0	24.5	37.0	2.0	39.0
92-93	26.828776205251543	33.0	21.5	36.5	2.0	38.5
94-95	25.841676693413625	32.5	17.5	36.0	2.0	38.0
96-97	24.11931875701073	31.5	2.0	36.0	2.0	37.0
98-99	23.554341667544968	31.0	2.0	36.0	2.0	37.0
100-101	22.43050348715618	29.5	2.0	35.5	2.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.2726599814514614
1101	2	0.3531332420278801
1101	3	0.32739833194240475
1101	4	0.34135443185710557
1101	5	0.42934401860676275
1101	6	0.44668281913185837
1101	7	0.4785178457057455
1101	8	0.4945667105501883
1101	9	0.5313915848403639
1101	10-11	0.5417616942474339
1101	12-13	0.6097235293228849
1101	14-15	0.5881203397953243
1101	16-17	0.6025590843688917
1101	18-19	0.596306017452882
1101	20-21	0.3387958366569208
1101	22-23	0.24091496032385606
1101	24-25	0.23522505315246178
1101	26-27	0.2540256118991664
1101	28-29	0.2588955955941117
1101	30-31	0.24810838591893258
1101	32-33	0.2553855387933197
1101	34-35	0.33421676746008444
1101	36-37	0.23549274400336628
1101	38-39	0.39493240301231225
1101	40-41	0.6263641703856777
1101	42-43	0.6475684293125283
1101	44-45	0.5376560955070815
1101	46-47	0.31622126783327076
1101	48-49	0.31321109485348586
1101	50-51	0.295828167714852
1101	52-53	0.3911945079792929
1101	54-55	0.6092972517854776
1101	56-57	0.4494314456892994
1101	58-59	0.3144969082842195
1101	60-61	0.28539522342705936
1101	62-63	0.3374232403826056
1101	64-65	0.4644851291062615
1101	66-67	0.42147017369522644
1101	68-69	0.49613046196911625
1101	70-71	0.735655355683388
1101	72-73	0.9610567094993172
1101	74-75	0.9994058809722546
1101	76-77	0.9829389477087922
1101	78-79	1.007002190869244
1101	80-81	0.954135276475462
1101	82-83	0.9316308420366965
1101	84-85	1.0106767366592955
1101	86-87	1.03236188288016
1101	88-89	0.8910376435662677
1101	90-91	0.7660825719494895
1101	92-93	0.8144440854981418
1101	94-95	1.0174043276181592
1101	96-97	1.1189042003884992
1101	98-99	1.0130731189485083
1101	100-101	1.0384749617758118
1102	1	0.29500867213928217
1102	2	0.38289860054779723
1102	3	0.37532179340932004
1102	4	0.3550795033482501
1102	5	0.3110988178905245
1102	6	0.23601434783717679
1102	7	0.263847003108296
1102	8	0.22541966893879106
1102	9	0.22263458049709328
1102	10-11	0.07699983932865706
1102	12-13	0.08304430302452204
1102	14-15	0.06124554169926455
1102	16-17	0.10920757487750166
1102	18-19	0.03281827377785618
1102	20-21	0.19025111478802614
1102	22-23	0.3616913977934786
1102	24-25	0.4245188406164999
1102	26-27	0.6559679843322712
1102	28-29	0.6790515246438815
1102	30-31	0.6802410603097968
1102	32-33	0.6953342615322242
1102	34-35	0.7025502667342423
1102	36-37	0.644683424324306
1102	38-39	0.43532423899785044
1102	40-41	0.19251032900493215
1102	42-43	0.09546581817421895
1102	44-45	0.1376729298505026
1102	46-47	0.2839340614208439
1102	48-49	0.3059381891144284
1102	50-51	0.39920813714178394
1102	52-53	0.36910785785020295
1102	54-55	0.20640149727847756
1102	56-57	0.1988145760487896
1102	58-59	0.504107794592457
1102	60-61	0.5177747641603005
1102	62-63	0.6609699570047809
1102	64-65	0.6450037793246288
1102	66-67	0.6508592517083969
1102	68-69	0.5688367294424808
1102	70-71	0.24740996920564484
1102	72-73	-5.919111371710528E-4
1102	74-75	-0.0988965386205436
1102	76-77	-0.18891094422697208
1102	78-79	-0.1535418811137248
1102	80-81	-0.21925695463411898
1102	82-83	-0.11561158978182817
1102	84-85	-0.11460471972976904
1102	86-87	-0.087037031842641
1102	88-89	0.08292865873555755
1102	90-91	0.3646667683974947
1102	92-93	0.5110962897283429
1102	94-95	0.6970783253000477
1102	96-97	0.5584928113077652
1102	98-99	0.4673055027905555
1102	100-101	0.526240308949621
1103	1	0.23107847439168694
1103	2	0.2754697335232592
1103	3	0.25742677931516766
1103	4	0.24611139891639766
1103	5	0.343688142549361
1103	6	0.3088809274484561
1103	7	0.34366235971742043
1103	8	0.2800196020947183
1103	9	0.3734427685431214
1103	10-11	0.3512716838084202
1103	12-13	0.3942928886984589
1103	14-15	0.37381846315517464
1103	16-17	0.4085290674197495
1103	18-19	0.378075558361715
1103	20-21	0.40009381433028324
1103	22-23	0.346303165843743
