##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	SRR492407_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	45521342
Sequences flagged as poor quality	0
Sequence length	101
%GC	39
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.71243620190283	39.0	36.0	39.0	32.0	39.0
2	36.4901830662198	39.0	36.0	39.0	31.0	39.0
3	36.32648040121489	39.0	36.0	39.0	31.0	39.0
4	36.325675833546384	39.0	36.0	39.0	31.0	39.0
5	36.3103080309012	39.0	36.0	39.0	31.0	39.0
6	36.233530571220854	39.0	36.0	39.0	31.0	39.0
7	36.122269110607505	39.0	36.0	39.0	31.0	39.0
8	36.11101239062768	39.0	36.0	39.0	31.0	39.0
9	35.96380992019084	39.0	36.0	39.0	30.0	39.0
10-11	35.966723410746546	39.0	36.0	39.0	30.5	39.0
12-13	35.80661351108674	38.0	36.0	39.0	30.0	39.0
14-15	35.65044610284117	38.0	35.0	39.0	29.5	39.0
16-17	35.46161054522514	38.0	35.0	39.0	29.0	39.0
18-19	35.22136448657423	38.0	35.0	39.0	28.0	39.0
20-21	34.953360909263175	37.5	35.0	39.0	27.5	39.0
22-23	34.582737982548934	37.0	34.0	39.0	27.0	39.0
24-25	34.21025946467044	37.0	33.0	39.0	25.5	39.0
26-27	33.79674506300803	37.0	33.0	39.0	24.5	39.0
28-29	33.63258151528134	37.0	33.0	39.0	24.0	39.0
30-31	33.510427702241294	37.0	33.0	39.0	24.0	39.0
32-33	33.270876438572486	36.5	32.5	39.0	23.0	39.0
34-35	32.964287070007735	36.0	32.0	39.0	22.5	39.0
36-37	33.23346734812871	36.0	32.5	39.0	23.0	39.0
38-39	33.09443291456566	36.0	32.0	39.0	23.0	39.0
40-41	33.13389124160707	36.0	32.5	39.0	23.5	39.0
42-43	33.058083261253586	36.0	32.5	39.0	23.0	39.0
44-45	32.79574332408741	36.0	32.0	39.0	22.5	39.0
46-47	32.33591375667264	36.0	31.5	38.0	20.5	39.0
48-49	31.863157065975777	36.0	31.0	37.0	19.5	39.0
50-51	31.89920533318196	35.5	31.0	38.0	18.5	39.0
52-53	31.954953876359795	36.0	31.0	38.0	17.5	39.0
54-55	31.514422685517488	36.0	30.0	38.0	15.0	39.0
56-57	31.702932648602495	36.0	31.0	39.0	13.0	39.0
58-59	31.239206612142496	36.0	30.0	38.0	11.5	39.0
60-61	30.893488739853055	36.0	29.5	38.0	5.0	39.0
62-63	30.386390750518736	35.0	29.0	38.0	2.0	39.0
64-65	30.003777733529915	35.0	28.0	37.5	2.0	39.0
66-67	29.5061714239444	35.0	27.5	37.0	2.0	39.0
68-69	29.131546517235805	34.5	27.0	37.0	2.0	39.0
70-71	28.528909011513765	34.0	25.5	37.0	2.0	39.0
72-73	28.019368244899283	34.0	24.5	37.0	2.0	39.0
74-75	27.478587768787662	33.0	23.5	37.0	2.0	39.0
76-77	26.82415913836635	33.0	21.5	36.5	2.0	38.5
78-79	26.24001294821229	32.5	20.0	36.0	2.0	38.0
80-81	25.442970090820257	32.0	16.0	36.0	2.0	38.0
82-83	24.72268465854983	31.5	12.0	36.0	2.0	37.0
84-85	23.950286483206053	30.5	3.0	35.0	2.0	37.0
86-87	22.83904783606775	29.5	2.0	35.0	2.0	37.0
88-89	22.174654560931003	29.0	2.0	35.0	2.0	37.0
90-91	21.177575421656066	27.5	2.0	34.0	2.0	36.5
92-93	20.22463415072429	26.5	2.0	34.0	2.0	36.0
94-95	19.423725568108253	25.0	2.0	33.5	2.0	36.0
96-97	18.125549604842494	22.0	2.0	33.0	2.0	36.0
98-99	17.337079847074804	20.0	2.0	32.0	2.0	35.5
100-101	16.658215282844694	17.0	2.0	32.0	2.0	35.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.36616732832428056
1101	2	0.4043668097900266
1101	3	0.39641568184791964
1101	4	0.5080354999585879
1101	5	0.39520250682333113
1101	6	0.4184064328323416
1101	7	0.4224188720346831
1101	8	0.4618882644772313
1101	9	0.3938694985194573
1101	10-11	0.6347894126432934
1101	12-13	0.6635158791146338
1101	14-15	0.6872452278871961
1101	16-17	0.7408623137303039
1101	18-19	0.736914949340516
1101	20-21	0.7615087217144278
1101	22-23	0.9016459846443965
1101	24-25	0.6819319075015216
1101	26-27	0.6892641619946147
1101	28-29	0.7108600550728852
1101	30-31	0.9013922484884489
1101	32-33	0.9939654817095516
1101	34-35	1.0842664568747438
1101	36-37	0.9256158026040282
1101	38-39	0.9105873456564169
1101	40-41	0.9629158944193748
1101	42-43	0.9181024125898816
1101	44-45	0.8853588002800663
1101	46-47	0.9892673296666459
1101	48-49	1.0672139711381803
1101	50-51	1.0907509169360132
1101	52-53	1.1255670267760145
1101	54-55	1.1405491884483183
1101	56-57	0.8717549029875329
1101	58-59	1.012743374067334
1101	60-61	0.9330714493350811
1101	62-63	0.9283850438622849
1101	64-65	0.9672359117885634
1101	66-67	0.7096905841596381
1101	68-69	0.8834637026878305
1101	70-71	0.86588551924266
1101	72-73	0.941425557931133
1101	74-75	1.0696812569590826
1101	76-77	1.0535235447777822
1101	78-79	1.1402145767518945
1101	80-81	1.2386396856433421
1101	82-83	1.1792255040033837
1101	84-85	1.2084602797275927
1101	86-87	1.345272987365984
1101	88-89	1.0981343256865408
1101	90-91	1.2792102664085192
1101	92-93	0.9678466210866681
1101	94-95	1.1425191181194911
1101	96-97	1.439771278388406
1101	98-99	1.5417542992344018
1101	100-101	1.3732508984554848
1102	1	0.6774410899029419
1102	2	0.7336104841246112
1102	3	0.7561361920377507
1102	4	0.7180392596463392
1102	5	0.7001679601896598
1102	6	0.7162914867653143
1102	7	0.7407345182503704
1102	8	0.6267397934190768
1102	9	0.6211255789680621
1102	10-11	0.4032662614297209
1102	12-13	0.11635787170393286
1102	14-15	0.09253613790409077
1102	16-17	-0.02256001981425726
1102	18-19	-0.016786468033501478
1102	20-21	0.06836171927201917
1102	22-23	0.09592678207620509
1102	24-25	0.2713594304488396
1102	26-27	0.7864384536534601
1102	28-29	0.8777506583364314
1102	30-31	0.9799115230112534
1102	32-33	1.0749724959409903
1102	34-35	1.0377092423302798
1102	36-37	0.937455068913799
1102	38-39	0.8452275387836536
1102	40-41	0.6250383868071339
1102	42-43	0.4705444386977575
1102	44-45	0.35912201407044364
1102	46-47	0.052182002976771
1102	48-49	0.1110518955564217
1102	50-51	0.15148187246715494
1102	52-53	0.25332962397853365
1102	54-55	0.35127331283647223
1102	56-57	0.666951174277493
1102	58-59	0.9030022334693726
1102	60-61	0.9419074219595558
1102	62-63	0.9594378002525161
1102	64-65	0.9828775540736885
1102	66-67	0.874289403659315
1102	68-69	0.948050378984707
1102	70-71	0.780981874494227
1102	72-73	0.6620218366318085
1102	74-75	0.6583614306912793
1102	76-77	0.2709965113006376
1102	78-79	0.3030706330116857
1102	80-81	0.04183168388821912
1102	82-83	-0.07246576987053999
1102	84-85	0.016093090911873276
1102	86-87	0.16129241281630513
1102	88-89	-0.0025085663091850563
1102	90-91	0.3176275507911548
1102	92-93	0.2884195747462073
1102	94-95	0.49270928155630145
1102	96-97	0.7883334909695741
1102	98-99	0.8901514013103871
1102	100-101	0.7516208314475037
1103	1	0.3062470783857876
1103	2	0.3776391464795239
1103	3	0.3705621836705788
1103	4	0.40610171668749473
1103	5	0.37647387337905514
1103	6	0.4048123328870403
1103	7	0.438101174748013
1103	8	0.40954125483917636
1103	9	0.43957417589911074
1103	10-11	0.44788237893019556
1103	12-13	0.513765237999003
1103	14-15	0.4973144553599198
1103	16-17	0.6076435340729205
1103	18-19	0.6356770191385337
1103	20-21	0.6482837311432164
1103	22-23	0.657872781396172
